m;Seccion_tub;Peso (kg/m);H (mm);B (mm);tnom (mm);tdis (mm);ri (mm);ri2 (mm);besb (mm);hesb (mm);besb/tdis;hesb/tdis;bint (mm);hint (mm);Ag (mm2);Ix (mm4);rx (mm);Sx (mm3);Iy (mm4);ry (mm);Sy (mm3);y' (mm);Zx (mm3);x' (mm);Zy (mm3);Rc (mm);Ap (mm2);p (mm);Js (mm4)
1;TUB.100X100X2;6.22;100;100;2;1.86;0.93;1.86;94.42;94.42;50.76;50.76;96.28;96.28;721.25;1150547.97;39.94;23010.96;1150547.97;39.94;23010.96;36.65;26432.64;36.65;26432.64;2.79;9624.78;387.77;1777379
2;TUB.100X100X2.5;7.73;100;100;2.5;2.33;1.16;2.33;93.03;93.03;40.01;40.01;95.35;95.35;894.46;1411010.62;39.72;28220.21;1411010.62;39.72;28220.21;36.43;32588.49;36.43;32588.49;3.49;9529.97;384.71;2195478.3
3;TUB.100X100X3;9.22;100;100;3;2.79;1.4;2.79;91.63;91.63;32.84;32.84;94.42;94.42;1064.82;1660973.66;39.5;33219.47;1660973.66;39.5;33219.47;36.22;38566.42;36.22;38566.42;4.19;9434.75;381.66;2602878.29
4;TUB.100X100X4;12.14;100;100;4;3.72;1.86;3.72;88.84;88.84;23.88;23.88;92.56;92.56;1397.01;2130130.51;39.05;42602.61;2130130.51;39.05;42602.61;35.79;49994.49;35.79;49994.49;5.58;9243.11;375.54;3385188.33
5;TUB.100X100X6;17.75;100;100;6;5.58;2.79;5.58;83.26;83.26;14.92;14.92;88.84;88.84;2027.27;2950399.94;38.15;59008;2950399.94;38.15;59008;34.91;70781.46;34.91;70781.46;8.37;8855;363.31;4817187.64
6;TUB.100X40X1.5;3.28;100;40;1.5;1.4;0.7;1.4;35.82;95.82;25.67;68.68;37.21;97.21;377.8;472469.2;35.36;9449.38;114023.88;17.37;5701.19;31.35;11844.12;16.55;6252.23;2.09;3802.89;270.83;297967.07
7;TUB.100X40X2;4.34;100;40;2;1.86;0.93;1.86;34.42;94.42;18.51;50.76;36.28;96.28;498.05;613048.17;35.08;12260.96;146756.64;17.17;7337.83;31.08;15480.22;16.35;8143.07;2.79;3736.38;267.77;387893.42
8;TUB.100X40X2.5;5.37;100;40;2.5;2.33;1.16;2.33;33.03;93.03;14.2;40.01;35.35;95.35;615.46;745441.65;34.8;14908.83;177012.08;16.96;8850.6;30.81;18962.83;16.15;9939.79;3.49;3669.47;264.71;473057.41
9;TUB.100X50X2;4.65;100;50;2;1.86;0.93;1.86;44.42;94.42;23.88;50.76;46.28;96.28;535.25;702631.47;36.23;14052.63;240948.65;21.22;9637.95;32.33;17305.62;20.04;10726.33;2.79;4717.78;287.77;575442.89
10;TUB.100X50X2.5;5.77;100;50;2.5;2.33;1.16;2.33;43.03;93.03;18.51;40.01;45.35;95.35;661.96;856369.81;35.97;17127.4;292183.9;21.01;11687.36;32.08;21233.78;19.84;13133.32;3.49;4646.22;284.71;705139.22
