Referencia;Peso(Kg/m);d(mm);bf(mm);tw(mm);tf(mm);r(mm);dint(mm);T(mm);A(cm2);Apint(m2/m); Amasa(m2/t);Ixx(cm4);Sx(cm3);Zx(cm3);rx(cm);Av(cm2);Iyy(cm4);Sy(cm3);Zy(cm3);ry(cm);Ss(cm);J(cm4);Cw(cm6)
IPE750x220;220;779;266;16.5;30;20;719;679;280.7;2.555;11.56;279390;7173;8231;31.4;139;9443;710;1114;5.7;9.9;620.5;13190000
IPE750x196;196;770;268;15.6;25.4;20;719;679;250.8;2.546;12.88;241470;6271;7207;30.9;129.7;8177;610.2;960.1;5.6;8.9;416.5;11290000
IPE750x173;173;762;267;14.4;21.6;20;719;679;221.3;2.529;14.49;207010;5433;6251;30.5;118.6;6875;515;811.1;5.5;8.1;278.7;9390000
IPE750x147;147;753;265;13.2;17;20;719;679;187.5;2.505;16.93;167250;4442;5143;29.7;107.3;5291;399.3;632;5.2;7;163.2;7140000
IPE750x134;134;750;264;12;15.5;20;719;679;170.6;2.498;18.55;151890;4050;4678;29.7;97.77;4767;361.2;569.6;5.2;6.6;124.9;6410000
IPEV600;184;618;228;18;28;24;562;514;233.8;2.071;11.28;141580;4581;5324;24.6;124.5;5569;488.5;780.3;4.8;10.2;505.8;4813000
IPEO600;154;610;224;15;24;24;562;514;196.8;2.045;13.24;118300;3878;4471;24.5;104.3;4520;403.6;640;4.7;9.1;316.3;3859000
IPE600;122;600;220;12;19;24;562;514;156;2.015;16.46;92080;3069;3512;24.2;83.78;3387;307.9;485.6;4.6;7.8;165.2;2845000
IPEA600;108;597;220;9.8;17.5;24;562;514;137;2.013;18.71;82910;2777;3141;24.5;70.13;3116;283.2;442;4.7;7.2;122.1;2607000
IPEO550;123;556;212;12.7;20.2;24;515.6;467.6;156.1;1.893;15.45;79150;2847;3263;22.5;82.68;3224;304.1;480.5;4.5;8.1;187.1;2302000
IPE550;106;550;210;11.1;17.2;24;515.6;467.6;134.4;1.877;17.79;67110;2440;2787;22.3;72.34;2667;254;400.5;4.4;7.3;122.8;1884000
IPEA550;92.1;547;210;9;15.7;24;515.6;467.6;117.3;1.875;20.36;59970;2193;2474;22.6;60.29;2432;231.6;361.5;4.5;6.8;89.29;1710000
IPEAA550;79.5;541;210;8.5;12.5;24;515.6;467.6;101.3;1.864;23.44;49550;1831;2078;22.1;55.86;1937;184.5;289.6;4.3;6.1;56.18;1347000
IPEV500;129;514;204;14.2;23;21;468;426;164.1;1.78;13.82;70710;2751;3168;20.7;83.16;3271;320.7;506.6;4.4;8.4;241.5;1961000
IPEO500;107;506;202;12;19;21;468;426;136.7;1.76;16.4;57770;2283;2612;20.5;70.2;2621;259.5;408.5;4.3;7.4;142.7;1547000
IPE500;90.7;500;200;10.2;16;21;468;426;115.5;1.744;19.23;48190;1927;2194;20.4;59.87;2141;214.1;335.8;4.3;6.6;89.09;1249000
IPEA500;79.4;497;200;8.4;14.5;21;468;426;101.1;1.741;21.94;42930;1727;1946;20.6;50.4;1939;193.9;301.6;4.3;6.2;64.28;1125000
IPEAA500;73.2;495.2;200;7.5;13.6;21;468;426;93.3;1.739;23.75;39940;1613;1807;20.6;45.61;1818;181.8;281.7;4.4;5.9;52.86;1051000
IPEV450;107;460;194;12.4;19.6;21;420.8;378.8;132;1.635;15.78;46200;2008;2301;18.7;66.62;2396;247.1;389.1;4.2;7.6;148.8;1156000
IPEO450;92.4;456;192;11;17.6;21;420.8;378.8;117.7;1.622;17.56;40920;1794;2046;18.6;59.4;2085;217.2;340.9;4.2;7;108.9;997500
IPE450;77.6;450;190;9.4;14.6;21;420.8;378.8;98.8;1.605;20.69;33740;1499;1701;18.4;50.84;1675;176.4;276.3;4.1;6.3;66.74;791000
IPEA450;67.2;447;190;7.6;13.1;21;420.8;378.8;85.6;1.603;23.87;29750;1331;1494;18.6;42.26;1502;158.1;245.7;4.1;5.8;47.13;704800
IPEAA450;62.1;445.4;190;6.8;12.3;21;420.8;378.8;79.1;1.601;25.77;27740;1246;1391;18.7;38.4;1410;148.4;229.9;4.2;5.6;39.16;659300
IPEV400;84;408;182;10.6;17.5;21;373;331;107;1.487;17.7;30130;1477;1681;16.7;52.52;1766;194.1;304;4;7;99.58;670300
IPEO400;75.7;404;182;9.7;15.5;21;373;331;96.4;1.481;19.57;26740;1324;1502;16.6;47.98;1564;171.8;269;4;6.5;73.34;587600
